#deck:git-mastery-labs::Section 1 - Foundations::01-git-github-introduction
#separator:Comma
#columns:Front,Back,Tags
"You are on a flight with no internet. You need to commit 3 changes and read 50 commits of history. Can Git do this — and why?","Yes — completely. Git stores every commit, every file version, and all history inside .git/ on your local machine. Internet is only required to push to or pull from a remote like GitHub. Both operations are fully local.","demo01 fundamentals offline distributed"
"A colleague says they pushed code to Git. What is imprecise about this statement?","You push to a remote repository (GitHub / GitLab / origin) — not to Git itself. Git is the version control tool running locally. The correct statement: pushed to GitHub (or pushed to origin).","demo01 fundamentals git-vs-github"
"You have 10 files across your project with identical contents. git add all 10. How many blob objects are stored in .git/objects/?","One. Git is content-addressed — same content produces the same SHA-1 hash, which maps to the same stored object. Deduplication is automatic.","demo01 internals content-addressed deduplication"
"What does content-addressed storage mean in Git?","Objects are identified by what they contain, not where they are stored. Git computes SHA-1 hash of each object's contents and uses that hash as the storage key. Move or rename a file — the hash and stored object do not change.","demo01 internals content-addressed"
"Name the three Git config scopes in order from lowest to highest precedence.","system (lowest) < global < local (highest). Local always wins. global overrides system. Most specific scope takes priority.","demo01 config scopes precedence"
"You use personal@gmail.com globally but need work@corp.com for one project. What is the exact command to set the override?","cd into the project, then: git config --local user.email work@corp.com — this writes to .git/config inside the repo and overrides the global value only for that repository.","demo01 config local override"
"git commit opens VS Code but creates an empty commit before you finish writing. What is wrong and what is the fix?","core.editor is set to 'code' without --wait. Without --wait, Git continues immediately rather than waiting for you to close the file. Fix: git config --global core.editor 'code --wait'","demo01 config editor core.editor"
"What three situations cause Git to open the editor defined in core.editor?","1) git commit without -m flag — write commit message. 2) git rebase -i — edit the list of commits. 3) git merge — edit the auto-generated merge commit message.","demo01 config core.editor usage"
"Your commits appear as unknown user on GitHub. user.name and user.email are set locally. What is the most likely cause?","The email in git config does not match any email on your GitHub account. GitHub links commits by matching the commit author email against all emails (primary + secondary) on your account. Add the local email to GitHub under Settings → Emails.","demo01 config github email"
"What does core.pager do, and what does an empty value (core.pager=) mean?","core.pager sets the program Git uses to page long output (default: less). An empty value disables paging — output flows directly to the terminal without stopping. Set with: git config --global core.pager '' to disable.","demo01 config core.pager"
"What command shows every active Git config value AND the file each value comes from?","git config --list --show-origin — prints source file path alongside each key=value pair. Essential for debugging when the same key appears in multiple scopes.","demo01 config commands"
"What is the difference between a local repository, a remote repository, and a bare repository?","Local repo: the .git/ folder on your machine — you commit and branch here. Remote repo: a copy hosted elsewhere (GitHub) — you push to and pull from it. Bare repo: a repo with no working tree — just the .git/ contents — used on servers; you never edit files directly in it.","demo01 fundamentals repo-types"
